MonthStart,YearMonth,TargetRevenue,TargetProfit,TargetMarginPct
2023-01-01,2023-01,855446.54,240880.83,0.2816
2023-02-01,2023-02,739106.99,208744.72,0.2824
2023-03-01,2023-03,920712.17,268828.55,0.292
2023-04-01,2023-04,882600.17,248818.77,0.2819
2023-05-01,2023-05,916072.18,264580.65,0.2888
2023-06-01,2023-06,1067647.72,307417.84,0.2879
2023-07-01,2023-07,903885.07,256393.66,0.2837
2023-08-01,2023-08,1048794.13,311151.47,0.2967
2023-09-01,2023-09,1166737.48,335618.52,0.2877
2023-10-01,2023-10,1197901.22,357383.99,0.2983
2023-11-01,2023-11,1514612.57,457313.29,0.3019
2023-12-01,2023-12,1615921.6,462690.43,0.2863
2024-01-01,2024-01,917763.64,272985.45,0.2974
2024-02-01,2024-02,988323.89,294469.82,0.2979
2024-03-01,2024-03,985785.41,269632.72,0.2735
2024-04-01,2024-04,1183212.92,345616.93,0.2921
2024-05-01,2024-05,1035757.51,301483.71,0.2911
2024-06-01,2024-06,1084123.54,318364.53,0.2937
2024-07-01,2024-07,1048273.63,305065.11,0.291
2024-08-01,2024-08,1084974.77,317999.69,0.2931
2024-09-01,2024-09,1291528.05,375199.93,0.2905
2024-10-01,2024-10,1250105.2,356436.84,0.2851
2024-11-01,2024-11,1597881.62,458178.29,0.2867
2024-12-01,2024-12,1588999.05,475913.3,0.2995
2025-01-01,2025-01,975448.28,276143.07,0.2831
2025-02-01,2025-02,874291.34,257289.44,0.2943
2025-03-01,2025-03,1054983.86,302556.55,0.2868
2025-04-01,2025-04,995795.77,307764.93,0.3091
2025-05-01,2025-05,1143396.0,345052.21,0.3018
2025-06-01,2025-06,1171553.09,335437.76,0.2863
2025-07-01,2025-07,1133271.04,316807.2,0.2796
2025-08-01,2025-08,1151393.0,325248.36,0.2825
2025-09-01,2025-09,1265233.56,362870.7,0.2868
2025-10-01,2025-10,1299155.65,370999.7,0.2856
2025-11-01,2025-11,1672043.45,478596.62,0.2862
2025-12-01,2025-12,1792075.16,538027.06,0.3002
